NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,PCP16_B||Dificultad Oído
Sololá,Concepción,Hombre,0,68,
Sololá,Concepción,Hombre,1,89,
Sololá,Concepción,Hombre,2,68,
Sololá,Concepción,Hombre,3,59,
Sololá,Concepción,Hombre,4,3,No declarado
Sololá,Concepción,Hombre,4,100,"No, sin dificultad"
Sololá,Concepción,Hombre,5,86,"No, sin dificultad"
Sololá,Concepción,Hombre,6,102,"No, sin dificultad"
Sololá,Concepción,Hombre,7,1,No declarado
Sololá,Concepción,Hombre,7,90,"No, sin dificultad"
Sololá,Concepción,Hombre,7,2,"Sí, con algo de dificultad"
Sololá,Concepción,Hombre,8,1,No declarado
Sololá,Concepción,Hombre,8,99,"No, sin dificultad"
Sololá,Concepción,Hombre,9,1,No declarado
Sololá,Concepción,Hombre,9,97,"No, sin dificultad"
Sololá,Concepción,Hombre,10,2,No declarado
Sololá,Concepción,Hombre,10,123,"No, sin dificultad"
Sololá,Concepción,Hombre,10,1,"Sí, con algo de dificultad"
Sololá,Concepción,Hombre,11,1,No declarado
Sololá,Concepción,Hombre,11,81,"No, sin dificultad"
Sololá,Concepción,Hombre,11,1,"Sí, con mucha dificultad"
Sololá,Concepción,Hombre,12,1,No declarado
Sololá,Concepción,Hombre,12,1,No puede
Sololá,Concepción,Hombre,12,109,"No, sin dificultad"
Sololá,Concepción,Hombre,13,3,No declarado
Sololá,Concepción,Hombre,13,84,"No, sin dificultad"
Sololá,Concepción,Hombre,14,86,"No, sin dificultad"
Sololá,Concepción,Hombre,14,1,"Sí, con algo de dificultad"
Sololá,Concepción,Hombre,15,1,No puede
Sololá,Concepción,Hombre,15,73,"No, sin dificultad"
Sololá,Concepción,Hombre,16,2,No declarado
Sololá,Concepción,Hombre,16,77,"No, sin dificultad"
Sololá,Concepción,Hombre,16,1,"Sí, con mucha dificultad"
Sololá,Concepción,Hombre,17,72,"No, sin dificultad"
Sololá,Concepción,Hombre,18,84,"No, sin dificultad"
Sololá,Concepción,Hombre,19,1,No declarado
Sololá,Concepción,Hombre,19,63,"No, sin dificultad"
Sololá,Concepción,Hombre,19,1,"Sí, con algo de dificultad"
Sololá,Concepción,Hombre,19,1,"Sí, con mucha dificultad"
Sololá,Concepción,Hombre,20,73,"No, sin dificultad"
Sololá,Concepción,Hombre,21,51,"No, sin dificultad"
Sololá,Concepción,Hombre,22,1,No declarado
Sololá,Concepción,Hombre,22,1,No puede
Sololá,Concepción,Hombre,22,54,"No, sin dificultad"
Sololá,Concepción,Hombre,23,62,"No, sin dificultad"
Sololá,Concepción,Hombre,24,54,"No, sin dificultad"
Sololá,Concepción,Hombre,24,1,"Sí, con mucha dificultad"
Sololá,Concepción,Hombre,25,59,"No, sin dificultad"
Sololá,Concepción,Hombre,25,1,"Sí, con algo de dificultad"
Sololá,Concepción,Hombre,26,63,"No, sin dificultad"
Sololá,Concepción,Hombre,27,30,"No, sin dificultad"
Sololá,Concepción,Hombre,28,56,"No, sin dificultad"
Sololá,Concepción,Hombre,29,36,"No, sin dificultad"
Sololá,Concepción,Hombre,30,1,No declarado
Sololá,Concepción,Hombre,30,77,"No, sin dificultad"
Sololá,Concepción,Hombre,30,1,"Sí, con algo de dificultad"
Sololá,Concepción,Hombre,31,37,"No, sin dificultad"
Sololá,Concepción,Hombre,32,1,No declarado
Sololá,Concepción,Hombre,32,38,"No, sin dificultad"
Sololá,Concepción,Hombre,32,1,"Sí, con algo de dificultad"
Sololá,Concepción,Hombre,33,45,"No, sin dificultad"
Sololá,Concepción,Hombre,34,30,"No, sin dificultad"
