NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,NIVGRADO||Nivel y grado de estudio,Recuento de PCP17_B
Chimaltenango,Acatenango,Hombre,6,1ero Primaria,5
Chimaltenango,Acatenango,Hombre,7,1ero Primaria,58
Chimaltenango,Acatenango,Hombre,7,2do Primaria,5
Chimaltenango,Acatenango,Hombre,8,1ero Primaria,154
Chimaltenango,Acatenango,Hombre,8,2do Primaria,36
Chimaltenango,Acatenango,Hombre,8,3ero Primaria,2
Chimaltenango,Acatenango,Hombre,9,1ero Primaria,79
Chimaltenango,Acatenango,Hombre,9,2do Primaria,131
Chimaltenango,Acatenango,Hombre,9,3ero Primaria,26
Chimaltenango,Acatenango,Hombre,9,4to Primaria,3
Chimaltenango,Acatenango,Hombre,10,1ero Primaria,30
Chimaltenango,Acatenango,Hombre,10,2do Primaria,73
Chimaltenango,Acatenango,Hombre,10,3ero Primaria,121
Chimaltenango,Acatenango,Hombre,10,4to Primaria,26
Chimaltenango,Acatenango,Hombre,10,5to Primaria,4
Chimaltenango,Acatenango,Hombre,11,1ero Primaria,22
Chimaltenango,Acatenango,Hombre,11,2do Primaria,34
Chimaltenango,Acatenango,Hombre,11,3ero Primaria,75
Chimaltenango,Acatenango,Hombre,11,4to Primaria,106
Chimaltenango,Acatenango,Hombre,11,5to Primaria,23
Chimaltenango,Acatenango,Hombre,11,6to Primaria,3
Chimaltenango,Acatenango,Hombre,12,1ero Basico,10
Chimaltenango,Acatenango,Hombre,12,1ero Primaria,5
Chimaltenango,Acatenango,Hombre,12,2do Primaria,18
Chimaltenango,Acatenango,Hombre,12,3ero Primaria,34
Chimaltenango,Acatenango,Hombre,12,4to Primaria,62
Chimaltenango,Acatenango,Hombre,12,5to Primaria,96
Chimaltenango,Acatenango,Hombre,12,6to Primaria,25
Chimaltenango,Acatenango,Hombre,13,1ero Basico,25
Chimaltenango,Acatenango,Hombre,13,1ero Primaria,6
Chimaltenango,Acatenango,Hombre,13,2do  Basico,6
Chimaltenango,Acatenango,Hombre,13,2do Primaria,21
Chimaltenango,Acatenango,Hombre,13,3ero Primaria,25
Chimaltenango,Acatenango,Hombre,13,4to Primaria,33
Chimaltenango,Acatenango,Hombre,13,5to Primaria,56
Chimaltenango,Acatenango,Hombre,13,6to Primaria,75
Chimaltenango,Acatenango,Hombre,14,1ero Basico,65
Chimaltenango,Acatenango,Hombre,14,1ero Primaria,6
Chimaltenango,Acatenango,Hombre,14,2do  Basico,25
Chimaltenango,Acatenango,Hombre,14,2do Primaria,11
Chimaltenango,Acatenango,Hombre,14,3ero Basico,1
Chimaltenango,Acatenango,Hombre,14,3ero Primaria,19
Chimaltenango,Acatenango,Hombre,14,4to Primaria,18
Chimaltenango,Acatenango,Hombre,14,5to Primaria,44
Chimaltenango,Acatenango,Hombre,14,6to Primaria,79
Chimaltenango,Acatenango,Hombre,15,1ero Basico,54
Chimaltenango,Acatenango,Hombre,15,1ero Primaria,2
Chimaltenango,Acatenango,Hombre,15,2do  Basico,62
Chimaltenango,Acatenango,Hombre,15,2do Primaria,13
Chimaltenango,Acatenango,Hombre,15,3ero Basico,25
Chimaltenango,Acatenango,Hombre,15,3ero Primaria,18
Chimaltenango,Acatenango,Hombre,15,4to Diversificado,2
Chimaltenango,Acatenango,Hombre,15,4to Primaria,18
Chimaltenango,Acatenango,Hombre,15,5to Primaria,19
Chimaltenango,Acatenango,Hombre,15,6to Primaria,54
Chimaltenango,Acatenango,Hombre,16,1ero Basico,25
Chimaltenango,Acatenango,Hombre,16,1ero Primaria,1
Chimaltenango,Acatenango,Hombre,16,2do  Basico,42
Chimaltenango,Acatenango,Hombre,16,2do Primaria,10
Chimaltenango,Acatenango,Hombre,16,3ero Basico,54
Chimaltenango,Acatenango,Hombre,16,3ero Primaria,17
Chimaltenango,Acatenango,Hombre,16,4to Diversificado,18
Chimaltenango,Acatenango,Hombre,16,4to Primaria,11
Chimaltenango,Acatenango,Hombre,16,5to Diversificado,5
Chimaltenango,Acatenango,Hombre,16,5to Primaria,7
Chimaltenango,Acatenango,Hombre,16,6to Primaria,56
Chimaltenango,Acatenango,Hombre,17,1ero Basico,26
Chimaltenango,Acatenango,Hombre,17,1ero Primaria,4
Chimaltenango,Acatenango,Hombre,17,2do  Basico,48
Chimaltenango,Acatenango,Hombre,17,2do Primaria,11
Chimaltenango,Acatenango,Hombre,17,3ero Basico,48
Chimaltenango,Acatenango,Hombre,17,3ero Primaria,16
Chimaltenango,Acatenango,Hombre,17,4to Diversificado,26
Chimaltenango,Acatenango,Hombre,17,4to Primaria,11
Chimaltenango,Acatenango,Hombre,17,5to Diversificado,20
Chimaltenango,Acatenango,Hombre,17,5to Primaria,7
Chimaltenango,Acatenango,Hombre,17,6to Diversificado y 7mo Diversificado,3
Chimaltenango,Acatenango,Hombre,17,6to Primaria,42
Chimaltenango,Acatenango,Hombre,18,1ero Basico,19
Chimaltenango,Acatenango,Hombre,18,1ero Primaria,3
Chimaltenango,Acatenango,Hombre,18,2do  Basico,18
Chimaltenango,Acatenango,Hombre,18,2do Licenciatura,1
Chimaltenango,Acatenango,Hombre,18,2do Primaria,12
Chimaltenango,Acatenango,Hombre,18,3ero Basico,41
Chimaltenango,Acatenango,Hombre,18,3ero Primaria,14
Chimaltenango,Acatenango,Hombre,18,4to Diversificado,27
Chimaltenango,Acatenango,Hombre,18,4to Primaria,4
Chimaltenango,Acatenango,Hombre,18,5to Diversificado,45
Chimaltenango,Acatenango,Hombre,18,5to Primaria,8
Chimaltenango,Acatenango,Hombre,18,6to Diversificado y 7mo Diversificado,19
Chimaltenango,Acatenango,Hombre,18,6to Primaria,54
Chimaltenango,Acatenango,Hombre,19,1er Licenciatura,5
Chimaltenango,Acatenango,Hombre,19,1ero Basico,14
Chimaltenango,Acatenango,Hombre,19,1ero Primaria,1
Chimaltenango,Acatenango,Hombre,19,2do  Basico,15
Chimaltenango,Acatenango,Hombre,19,2do Licenciatura,1
Chimaltenango,Acatenango,Hombre,19,2do Primaria,11
Chimaltenango,Acatenango,Hombre,19,3ero Basico,27
Chimaltenango,Acatenango,Hombre,19,3ero Primaria,15
Chimaltenango,Acatenango,Hombre,19,4to Diversificado,12
Chimaltenango,Acatenango,Hombre,19,4to Primaria,5
Chimaltenango,Acatenango,Hombre,19,5to Diversificado,42
Chimaltenango,Acatenango,Hombre,19,5to Primaria,11
Chimaltenango,Acatenango,Hombre,19,6to Diversificado y 7mo Diversificado,21
Chimaltenango,Acatenango,Hombre,19,6to Primaria,50
Chimaltenango,Acatenango,Hombre,20,1er Licenciatura,3
Chimaltenango,Acatenango,Hombre,20,1ero Basico,9
Chimaltenango,Acatenango,Hombre,20,1ero Primaria,2
Chimaltenango,Acatenango,Hombre,20,2do  Basico,17
Chimaltenango,Acatenango,Hombre,20,2do Licenciatura,2
Chimaltenango,Acatenango,Hombre,20,2do Primaria,7
Chimaltenango,Acatenango,Hombre,20,3ero Basico,37
Chimaltenango,Acatenango,Hombre,20,3ero Licenciatura,1
Chimaltenango,Acatenango,Hombre,20,3ero Primaria,14
Chimaltenango,Acatenango,Hombre,20,4to Diversificado,10
Chimaltenango,Acatenango,Hombre,20,4to Primaria,5
Chimaltenango,Acatenango,Hombre,20,5to Diversificado,34
Chimaltenango,Acatenango,Hombre,20,5to Primaria,6
Chimaltenango,Acatenango,Hombre,20,6to Diversificado y 7mo Diversificado,41
Chimaltenango,Acatenango,Hombre,20,6to Primaria,37
Chimaltenango,Acatenango,Hombre,21,1er Licenciatura,1
Chimaltenango,Acatenango,Hombre,21,1ero Basico,11
Chimaltenango,Acatenango,Hombre,21,1ero Primaria,1
Chimaltenango,Acatenango,Hombre,21,2do  Basico,14
Chimaltenango,Acatenango,Hombre,21,2do Primaria,8
Chimaltenango,Acatenango,Hombre,21,3ero Basico,29
Chimaltenango,Acatenango,Hombre,21,3ero Licenciatura,4
Chimaltenango,Acatenango,Hombre,21,3ero Primaria,9
Chimaltenango,Acatenango,Hombre,21,4to Diversificado,6
Chimaltenango,Acatenango,Hombre,21,4to Licenciatura,2
Chimaltenango,Acatenango,Hombre,21,4to Primaria,8
Chimaltenango,Acatenango,Hombre,21,5to Diversificado,34
Chimaltenango,Acatenango,Hombre,21,5to Licenciatura y 6to Licenciatura,1
Chimaltenango,Acatenango,Hombre,21,5to Primaria,7
Chimaltenango,Acatenango,Hombre,21,6to Diversificado y 7mo Diversificado,41
Chimaltenango,Acatenango,Hombre,21,6to Primaria,43
Chimaltenango,Acatenango,Hombre,22,1er Maestria,1
Chimaltenango,Acatenango,Hombre,22,1ero Basico,11
Chimaltenango,Acatenango,Hombre,22,1ero Primaria,7
Chimaltenango,Acatenango,Hombre,22,2do  Basico,15
Chimaltenango,Acatenango,Hombre,22,2do Licenciatura,3
Chimaltenango,Acatenango,Hombre,22,2do Primaria,10
Chimaltenango,Acatenango,Hombre,22,3ero Basico,25
Chimaltenango,Acatenango,Hombre,22,3ero Licenciatura,3
Chimaltenango,Acatenango,Hombre,22,3ero Primaria,14
Chimaltenango,Acatenango,Hombre,22,4to Diversificado,6
Chimaltenango,Acatenango,Hombre,22,4to Primaria,7
Chimaltenango,Acatenango,Hombre,22,5to Diversificado,45
Chimaltenango,Acatenango,Hombre,22,5to Licenciatura y 6to Licenciatura,2
Chimaltenango,Acatenango,Hombre,22,5to Primaria,8
Chimaltenango,Acatenango,Hombre,22,6to Diversificado y 7mo Diversificado,49
Chimaltenango,Acatenango,Hombre,22,6to Primaria,33
Chimaltenango,Acatenango,Hombre,23,1er Maestria,1
Chimaltenango,Acatenango,Hombre,23,1ero Basico,8
Chimaltenango,Acatenango,Hombre,23,1ero Primaria,3
Chimaltenango,Acatenango,Hombre,23,2do  Basico,9
Chimaltenango,Acatenango,Hombre,23,2do Licenciatura,1
Chimaltenango,Acatenango,Hombre,23,2do Primaria,5
Chimaltenango,Acatenango,Hombre,23,3ero Basico,16
Chimaltenango,Acatenango,Hombre,23,3ero Licenciatura,3
Chimaltenango,Acatenango,Hombre,23,3ero Primaria,17
Chimaltenango,Acatenango,Hombre,23,4to Diversificado,10
Chimaltenango,Acatenango,Hombre,23,4to Primaria,10
Chimaltenango,Acatenango,Hombre,23,5to Diversificado,34
Chimaltenango,Acatenango,Hombre,23,5to Licenciatura y 6to Licenciatura,2
Chimaltenango,Acatenango,Hombre,23,5to Primaria,10
Chimaltenango,Acatenango,Hombre,23,6to Diversificado y 7mo Diversificado,33
Chimaltenango,Acatenango,Hombre,23,6to Primaria,53
Chimaltenango,Acatenango,Hombre,24,1ero Basico,6
Chimaltenango,Acatenango,Hombre,24,1ero Primaria,3
Chimaltenango,Acatenango,Hombre,24,2do  Basico,9
Chimaltenango,Acatenango,Hombre,24,2do Licenciatura,3
Chimaltenango,Acatenango,Hombre,24,2do Maestria,2
Chimaltenango,Acatenango,Hombre,24,2do Primaria,3
Chimaltenango,Acatenango,Hombre,24,3ero Basico,30
Chimaltenango,Acatenango,Hombre,24,3ero Licenciatura,2
Chimaltenango,Acatenango,Hombre,24,3ero Primaria,10
Chimaltenango,Acatenango,Hombre,24,4to Diversificado,3
Chimaltenango,Acatenango,Hombre,24,4to Licenciatura,3
Chimaltenango,Acatenango,Hombre,24,4to Primaria,9
Chimaltenango,Acatenango,Hombre,24,5to Diversificado,24
Chimaltenango,Acatenango,Hombre,24,5to Licenciatura y 6to Licenciatura,1
Chimaltenango,Acatenango,Hombre,24,5to Primaria,5
Chimaltenango,Acatenango,Hombre,24,6to Diversificado y 7mo Diversificado,41
Chimaltenango,Acatenango,Hombre,24,6to Primaria,40
Chimaltenango,Acatenango,Hombre,25,1er Licenciatura,1
Chimaltenango,Acatenango,Hombre,25,1ero Basico,5
Chimaltenango,Acatenango,Hombre,25,1ero Primaria,2
Chimaltenango,Acatenango,Hombre,25,2do  Basico,8
Chimaltenango,Acatenango,Hombre,25,2do Licenciatura,3
Chimaltenango,Acatenango,Hombre,25,2do Maestria,1
Chimaltenango,Acatenango,Hombre,25,2do Primaria,6
Chimaltenango,Acatenango,Hombre,25,3ero Basico,24
Chimaltenango,Acatenango,Hombre,25,3ero Licenciatura,4
Chimaltenango,Acatenango,Hombre,25,3ero Primaria,13
Chimaltenango,Acatenango,Hombre,25,4to Diversificado,2
Chimaltenango,Acatenango,Hombre,25,4to Licenciatura,1
Chimaltenango,Acatenango,Hombre,25,4to Primaria,4
Chimaltenango,Acatenango,Hombre,25,5to Diversificado,15
Chimaltenango,Acatenango,Hombre,25,5to Primaria,14
Chimaltenango,Acatenango,Hombre,25,6to Diversificado y 7mo Diversificado,46
Chimaltenango,Acatenango,Hombre,25,6to Primaria,30
Chimaltenango,Acatenango,Hombre,26,1er Licenciatura,3
Chimaltenango,Acatenango,Hombre,26,1ero Basico,9
Chimaltenango,Acatenango,Hombre,26,1ero Primaria,3
Chimaltenango,Acatenango,Hombre,26,2do  Basico,10
Chimaltenango,Acatenango,Hombre,26,2do Primaria,3
Chimaltenango,Acatenango,Hombre,26,3ero Basico,17
Chimaltenango,Acatenango,Hombre,26,3ero Primaria,10
Chimaltenango,Acatenango,Hombre,26,4to Diversificado,3
Chimaltenango,Acatenango,Hombre,26,4to Primaria,7
Chimaltenango,Acatenango,Hombre,26,5to Diversificado,23
Chimaltenango,Acatenango,Hombre,26,5to Licenciatura y 6to Licenciatura,3
Chimaltenango,Acatenango,Hombre,26,5to Primaria,4
Chimaltenango,Acatenango,Hombre,26,6to Diversificado y 7mo Diversificado,45
Chimaltenango,Acatenango,Hombre,26,6to Primaria,36
Chimaltenango,Acatenango,Hombre,27,1er Licenciatura,1
Chimaltenango,Acatenango,Hombre,27,1ero Basico,7
Chimaltenango,Acatenango,Hombre,27,1ero Primaria,7
Chimaltenango,Acatenango,Hombre,27,2do  Basico,6
Chimaltenango,Acatenango,Hombre,27,2do Maestria,1
Chimaltenango,Acatenango,Hombre,27,2do Primaria,7
Chimaltenango,Acatenango,Hombre,27,3ero Basico,12
Chimaltenango,Acatenango,Hombre,27,3ero Primaria,9
Chimaltenango,Acatenango,Hombre,27,4to Diversificado,4
Chimaltenango,Acatenango,Hombre,27,4to Primaria,5
Chimaltenango,Acatenango,Hombre,27,5to Diversificado,22
Chimaltenango,Acatenango,Hombre,27,5to Licenciatura y 6to Licenciatura,7
Chimaltenango,Acatenango,Hombre,27,5to Primaria,4
Chimaltenango,Acatenango,Hombre,27,6to Diversificado y 7mo Diversificado,35
Chimaltenango,Acatenango,Hombre,27,6to Primaria,42
Chimaltenango,Acatenango,Hombre,28,1er Licenciatura,1
Chimaltenango,Acatenango,Hombre,28,1ero Basico,5
Chimaltenango,Acatenango,Hombre,28,1ero Primaria,3
Chimaltenango,Acatenango,Hombre,28,2do  Basico,8
Chimaltenango,Acatenango,Hombre,28,2do  Doctorado,1
Chimaltenango,Acatenango,Hombre,28,2do Primaria,8
Chimaltenango,Acatenango,Hombre,28,3ero Basico,21
Chimaltenango,Acatenango,Hombre,28,3ero Licenciatura,1
Chimaltenango,Acatenango,Hombre,28,3ero Primaria,10
Chimaltenango,Acatenango,Hombre,28,4to Diversificado,3
Chimaltenango,Acatenango,Hombre,28,4to Primaria,7
Chimaltenango,Acatenango,Hombre,28,5to Diversificado,17
Chimaltenango,Acatenango,Hombre,28,5to Licenciatura y 6to Licenciatura,4
Chimaltenango,Acatenango,Hombre,28,5to Primaria,1
Chimaltenango,Acatenango,Hombre,28,6to Diversificado y 7mo Diversificado,27
Chimaltenango,Acatenango,Hombre,28,6to Primaria,32
Chimaltenango,Acatenango,Hombre,29,1ero Basico,4
Chimaltenango,Acatenango,Hombre,29,1ero Primaria,6
Chimaltenango,Acatenango,Hombre,29,2do  Basico,9
Chimaltenango,Acatenango,Hombre,29,2do Licenciatura,1
Chimaltenango,Acatenango,Hombre,29,2do Primaria,11
Chimaltenango,Acatenango,Hombre,29,3ero Basico,16
Chimaltenango,Acatenango,Hombre,29,3ero Licenciatura,2
Chimaltenango,Acatenango,Hombre,29,3ero Primaria,11
Chimaltenango,Acatenango,Hombre,29,4to Diversificado,2
Chimaltenango,Acatenango,Hombre,29,4to Primaria,8
Chimaltenango,Acatenango,Hombre,29,5to Diversificado,9
Chimaltenango,Acatenango,Hombre,29,5to Licenciatura y 6to Licenciatura,1
Chimaltenango,Acatenango,Hombre,29,5to Primaria,6
Chimaltenango,Acatenango,Hombre,29,6to Diversificado y 7mo Diversificado,26
Chimaltenango,Acatenango,Hombre,29,6to Primaria,22
Chimaltenango,Acatenango,Hombre,30,1ero Basico,4
Chimaltenango,Acatenango,Hombre,30,1ero Primaria,7
Chimaltenango,Acatenango,Hombre,30,2do  Basico,4
Chimaltenango,Acatenango,Hombre,30,2do Primaria,10
Chimaltenango,Acatenango,Hombre,30,3ero Basico,14
Chimaltenango,Acatenango,Hombre,30,3ero Licenciatura,4
Chimaltenango,Acatenango,Hombre,30,3ero Primaria,12
Chimaltenango,Acatenango,Hombre,30,4to Diversificado,2
Chimaltenango,Acatenango,Hombre,30,4to Primaria,6
Chimaltenango,Acatenango,Hombre,30,5to Diversificado,3
Chimaltenango,Acatenango,Hombre,30,5to Licenciatura y 6to Licenciatura,7
Chimaltenango,Acatenango,Hombre,30,5to Primaria,5
Chimaltenango,Acatenango,Hombre,30,6to Diversificado y 7mo Diversificado,21
Chimaltenango,Acatenango,Hombre,30,6to Primaria,23
Chimaltenango,Acatenango,Hombre,31,1ero Primaria,1
Chimaltenango,Acatenango,Hombre,31,2do  Basico,2
Chimaltenango,Acatenango,Hombre,31,2do Primaria,14
Chimaltenango,Acatenango,Hombre,31,3ero Basico,11
Chimaltenango,Acatenango,Hombre,31,3ero Licenciatura,2
Chimaltenango,Acatenango,Hombre,31,3ero Primaria,7
Chimaltenango,Acatenango,Hombre,31,4to Diversificado,1
Chimaltenango,Acatenango,Hombre,31,4to Primaria,11
Chimaltenango,Acatenango,Hombre,31,5to Diversificado,11
Chimaltenango,Acatenango,Hombre,31,5to Licenciatura y 6to Licenciatura,6
Chimaltenango,Acatenango,Hombre,31,5to Primaria,1
Chimaltenango,Acatenango,Hombre,31,6to Diversificado y 7mo Diversificado,25
Chimaltenango,Acatenango,Hombre,31,6to Primaria,19
Chimaltenango,Acatenango,Hombre,32,1ero Basico,1
Chimaltenango,Acatenango,Hombre,32,1ero Primaria,8
Chimaltenango,Acatenango,Hombre,32,2do  Basico,2
Chimaltenango,Acatenango,Hombre,32,2do Maestria,1
Chimaltenango,Acatenango,Hombre,32,2do Primaria,18
Chimaltenango,Acatenango,Hombre,32,3ero Basico,11
Chimaltenango,Acatenango,Hombre,32,3ero Licenciatura,1
Chimaltenango,Acatenango,Hombre,32,3ero Primaria,12
Chimaltenango,Acatenango,Hombre,32,4to Diversificado,3
Chimaltenango,Acatenango,Hombre,32,4to Primaria,7
Chimaltenango,Acatenango,Hombre,32,5to Diversificado,4
Chimaltenango,Acatenango,Hombre,32,5to Licenciatura y 6to Licenciatura,6
Chimaltenango,Acatenango,Hombre,32,5to Primaria,2
Chimaltenango,Acatenango,Hombre,32,6to Diversificado y 7mo Diversificado,22
Chimaltenango,Acatenango,Hombre,32,6to Primaria,26
Chimaltenango,Acatenango,Hombre,33,1ero Basico,2
Chimaltenango,Acatenango,Hombre,33,1ero Primaria,6
Chimaltenango,Acatenango,Hombre,33,2do  Basico,4
Chimaltenango,Acatenango,Hombre,33,2do Licenciatura,1
Chimaltenango,Acatenango,Hombre,33,2do Primaria,10
Chimaltenango,Acatenango,Hombre,33,3ero Basico,13
Chimaltenango,Acatenango,Hombre,33,3ero Licenciatura,2
Chimaltenango,Acatenango,Hombre,33,3ero Primaria,12
Chimaltenango,Acatenango,Hombre,33,4to Diversificado,1
Chimaltenango,Acatenango,Hombre,33,4to Primaria,6
Chimaltenango,Acatenango,Hombre,33,5to Diversificado,4
Chimaltenango,Acatenango,Hombre,33,5to Licenciatura y 6to Licenciatura,1
Chimaltenango,Acatenango,Hombre,33,6to Diversificado y 7mo Diversificado,12
Chimaltenango,Acatenango,Hombre,33,6to Primaria,16
Chimaltenango,Acatenango,Hombre,34,1ero Basico,5
Chimaltenango,Acatenango,Hombre,34,1ero Primaria,5
Chimaltenango,Acatenango,Hombre,34,2do  Basico,2
Chimaltenango,Acatenango,Hombre,34,2do Licenciatura,1
Chimaltenango,Acatenango,Hombre,34,2do Maestria,1
Chimaltenango,Acatenango,Hombre,34,2do Primaria,8
Chimaltenango,Acatenango,Hombre,34,3ero Basico,18
Chimaltenango,Acatenango,Hombre,34,3ero Licenciatura,1
Chimaltenango,Acatenango,Hombre,34,3ero Primaria,14
Chimaltenango,Acatenango,Hombre,34,4to Diversificado,1
Chimaltenango,Acatenango,Hombre,34,4to Primaria,7
Chimaltenango,Acatenango,Hombre,34,5to Diversificado,3
Chimaltenango,Acatenango,Hombre,34,5to Licenciatura y 6to Licenciatura,1
Chimaltenango,Acatenango,Hombre,34,5to Primaria,1
Chimaltenango,Acatenango,Hombre,34,6to Diversificado y 7mo Diversificado,25
Chimaltenango,Acatenango,Hombre,34,6to Primaria,20
Chimaltenango,Acatenango,Hombre,35,1ero Basico,4
Chimaltenango,Acatenango,Hombre,35,1ero Primaria,5
Chimaltenango,Acatenango,Hombre,35,2do  Basico,2
Chimaltenango,Acatenango,Hombre,35,2do Primaria,10
Chimaltenango,Acatenango,Hombre,35,3ero Basico,5
Chimaltenango,Acatenango,Hombre,35,3ero Primaria,19
Chimaltenango,Acatenango,Hombre,35,4to Diversificado,1
Chimaltenango,Acatenango,Hombre,35,4to Primaria,4
Chimaltenango,Acatenango,Hombre,35,5to Diversificado,2
Chimaltenango,Acatenango,Hombre,35,5to Licenciatura y 6to Licenciatura,1
Chimaltenango,Acatenango,Hombre,35,5to Primaria,5
Chimaltenango,Acatenango,Hombre,35,6to Diversificado y 7mo Diversificado,13
Chimaltenango,Acatenango,Hombre,35,6to Primaria,32
Chimaltenango,Acatenango,Hombre,36,1ero Basico,2
Chimaltenango,Acatenango,Hombre,36,1ero Primaria,4
Chimaltenango,Acatenango,Hombre,36,2do  Basico,6
Chimaltenango,Acatenango,Hombre,36,2do Primaria,11
Chimaltenango,Acatenango,Hombre,36,3ero Basico,11
Chimaltenango,Acatenango,Hombre,36,3ero Primaria,6
Chimaltenango,Acatenango,Hombre,36,4to Diversificado,1
Chimaltenango,Acatenango,Hombre,36,4to Primaria,1
Chimaltenango,Acatenango,Hombre,36,5to Diversificado,3
Chimaltenango,Acatenango,Hombre,36,5to Licenciatura y 6to Licenciatura,2
Chimaltenango,Acatenango,Hombre,36,5to Primaria,4
Chimaltenango,Acatenango,Hombre,36,6to Diversificado y 7mo Diversificado,21
Chimaltenango,Acatenango,Hombre,36,6to Primaria,22
Chimaltenango,Acatenango,Hombre,37,1er Licenciatura,1
Chimaltenango,Acatenango,Hombre,37,1ero Basico,4
Chimaltenango,Acatenango,Hombre,37,1ero Primaria,5
Chimaltenango,Acatenango,Hombre,37,2do  Basico,4
Chimaltenango,Acatenango,Hombre,37,2do Licenciatura,1
Chimaltenango,Acatenango,Hombre,37,2do Primaria,7
Chimaltenango,Acatenango,Hombre,37,3ero Basico,8
Chimaltenango,Acatenango,Hombre,37,3ero Licenciatura,1
Chimaltenango,Acatenango,Hombre,37,3ero Primaria,13
Chimaltenango,Acatenango,Hombre,37,4to Diversificado,1
Chimaltenango,Acatenango,Hombre,37,4to Primaria,2
Chimaltenango,Acatenango,Hombre,37,5to Diversificado,9
Chimaltenango,Acatenango,Hombre,37,5to Licenciatura y 6to Licenciatura,2
Chimaltenango,Acatenango,Hombre,37,5to Primaria,3
Chimaltenango,Acatenango,Hombre,37,6to Diversificado y 7mo Diversificado,11
Chimaltenango,Acatenango,Hombre,37,6to Primaria,25
Chimaltenango,Acatenango,Hombre,38,1er Maestria,1
Chimaltenango,Acatenango,Hombre,38,1ero Basico,1
Chimaltenango,Acatenango,Hombre,38,1ero Primaria,5
Chimaltenango,Acatenango,Hombre,38,2do  Basico,1
Chimaltenango,Acatenango,Hombre,38,2do Primaria,13
Chimaltenango,Acatenango,Hombre,38,3ero Basico,14
Chimaltenango,Acatenango,Hombre,38,3ero Licenciatura,2
Chimaltenango,Acatenango,Hombre,38,3ero Primaria,13
Chimaltenango,Acatenango,Hombre,38,4to Diversificado,1
Chimaltenango,Acatenango,Hombre,38,4to Primaria,4
Chimaltenango,Acatenango,Hombre,38,5to Diversificado,2
Chimaltenango,Acatenango,Hombre,38,5to Licenciatura y 6to Licenciatura,1
Chimaltenango,Acatenango,Hombre,38,5to Primaria,1
Chimaltenango,Acatenango,Hombre,38,6to Diversificado y 7mo Diversificado,20
Chimaltenango,Acatenango,Hombre,38,6to Primaria,27
Chimaltenango,Acatenango,Hombre,39,1ero Basico,1
Chimaltenango,Acatenango,Hombre,39,1ero Primaria,9
Chimaltenango,Acatenango,Hombre,39,2do  Basico,2
Chimaltenango,Acatenango,Hombre,39,2do Primaria,10
Chimaltenango,Acatenango,Hombre,39,3ero Basico,3
Chimaltenango,Acatenango,Hombre,39,3ero Primaria,16
Chimaltenango,Acatenango,Hombre,39,4to Primaria,4
Chimaltenango,Acatenango,Hombre,39,5to Diversificado,4
Chimaltenango,Acatenango,Hombre,39,5to Licenciatura y 6to Licenciatura,1
Chimaltenango,Acatenango,Hombre,39,5to Primaria,2
Chimaltenango,Acatenango,Hombre,39,6to Diversificado y 7mo Diversificado,13
Chimaltenango,Acatenango,Hombre,39,6to Primaria,12
Chimaltenango,Acatenango,Hombre,40,1ero Basico,1
Chimaltenango,Acatenango,Hombre,40,1ero Primaria,2
Chimaltenango,Acatenango,Hombre,40,2do  Basico,1
Chimaltenango,Acatenango,Hombre,40,2do Maestria,1
Chimaltenango,Acatenango,Hombre,40,2do Primaria,16
Chimaltenango,Acatenango,Hombre,40,3ero Basico,6
Chimaltenango,Acatenango,Hombre,40,3ero Primaria,18
Chimaltenango,Acatenango,Hombre,40,4to Primaria,8
Chimaltenango,Acatenango,Hombre,40,5to Diversificado,3
Chimaltenango,Acatenango,Hombre,40,5to Licenciatura y 6to Licenciatura,2
Chimaltenango,Acatenango,Hombre,40,5to Primaria,3
Chimaltenango,Acatenango,Hombre,40,6to Diversificado y 7mo Diversificado,14
Chimaltenango,Acatenango,Hombre,40,6to Primaria,16
Chimaltenango,Acatenango,Hombre,41,1ero Basico,1
Chimaltenango,Acatenango,Hombre,41,1ero Primaria,2
Chimaltenango,Acatenango,Hombre,41,2do  Basico,1
Chimaltenango,Acatenango,Hombre,41,2do Primaria,11
Chimaltenango,Acatenango,Hombre,41,3ero Basico,8
Chimaltenango,Acatenango,Hombre,41,3ero Primaria,7
Chimaltenango,Acatenango,Hombre,41,4to Primaria,6
Chimaltenango,Acatenango,Hombre,41,5to Diversificado,1
Chimaltenango,Acatenango,Hombre,41,5to Licenciatura y 6to Licenciatura,1
Chimaltenango,Acatenango,Hombre,41,5to Primaria,1
Chimaltenango,Acatenango,Hombre,41,6to Diversificado y 7mo Diversificado,11
Chimaltenango,Acatenango,Hombre,41,6to Primaria,14
Chimaltenango,Acatenango,Hombre,42,1ero Basico,1
Chimaltenango,Acatenango,Hombre,42,1ero Primaria,5
Chimaltenango,Acatenango,Hombre,42,2do  Basico,1
Chimaltenango,Acatenango,Hombre,42,2do Licenciatura,1
Chimaltenango,Acatenango,Hombre,42,2do Primaria,14
Chimaltenango,Acatenango,Hombre,42,3ero Basico,5
Chimaltenango,Acatenango,Hombre,42,3ero Licenciatura,1
Chimaltenango,Acatenango,Hombre,42,3ero Primaria,18
Chimaltenango,Acatenango,Hombre,42,4to Diversificado,1
Chimaltenango,Acatenango,Hombre,42,4to Primaria,9
Chimaltenango,Acatenango,Hombre,42,5to Diversificado,2
